State Code,State,Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Pennsylvania,1999,1038,1051,969,1057,1070,1114,1197,1194,1181,1210,1161,1131,1297,1301,1308,1246,1317,1423,1460,1541,1433
40,RI,1999,37,42,31,36,26,29,30,40,23,32,35,41,20,30,37,25,34,24,27,32,31
41,South Carolina,1999,454,361,471,454,464,447,466,502,483,511,521,532,598,646,647,667,733,789,815,784,938
42,South Dakota,1999,21,15,12,15,11,16,17,25,25,24,15,25,31,16,33,36,38,39,43,42,562
43,Tennessee,1999,562,604,598,603,512,561,658,629,633,683,652,627,645,723,780,699,781,852,958,931,999
44,Texas,1999,1646,1707,1962,1886,1980,1872,2037,2018,2113,2168,2336,2260,2184,2223,2321,2391,2736,2885,3075,3099,3186
45,Utah,1999,140,154,182,160,174,164,173,167,198,180,210,243,233,245,263,281,301,300,340,321,314
46,Vermont,1999,10,0,13,22,0,12,0,13,10,0,11,12,10,11,0,20,17,33,10,25,10
47,Virginia,1999,467,487,455,481,448,447,568,507,481,445,519,514,492,490,522,520,568,672,683,674,663
48,Washington,1999,474,440,405,485,467,471,484,452,465,504,530,512,531,613,561,610,631,589,774,738,776
49,West Virginia,1999,81,84,85,114,91,94,116,98,94,89,107,100,87,90,140,149,118,178,147,146,134
50,Wisconsin,1999,273,230,305,247,269,202,253,229,286,232,234,290,277,298,344,317,402,460,449,390,391
51,Wyoming,1999,19,10,14,24,29,0,0,25,25,20,30,51,47,66,41,29,48,43,54,72,81
