state,year,lawtotal
Florida,2007,21
Florida,2008,21
Florida,2009,21
Florida,2010,21
Florida,2011,21
Florida,2012,21
Florida,2013,21
Florida,2014,21
Florida,2015,21
Florida,2016,21
Florida,2017,21
Florida,2018,30
Florida,2019,30
Florida,2020,30
Georgia,1991,12
Georgia,1992,15
Georgia,1993,15
Georgia,1994,14
Georgia,1995,10
Georgia,1996,10
Georgia,1997,11
Georgia,1998,11
Georgia,1999,11
Georgia,2000,11
Georgia,2001,11
Georgia,2002,11
Georgia,2003,11
Georgia,2004,11
Georgia,2005,11
Georgia,2006,11
Georgia,2007,11
Georgia,2008,11
Georgia,2009,11
Georgia,2010,11
Georgia,2011,11
Georgia,2012,11
Georgia,2013,11
Georgia,2014,6
Georgia,2015,6
Georgia,2016,6
Georgia,2017,6
Georgia,2018,6
Georgia,2019,6
Georgia,2020,6
Hawaii,1991,42
Hawaii,1992,47
Hawaii,1993,50
Hawaii,1994,63
Hawaii,1995,64
Hawaii,1996,64
Hawaii,1997,64
Hawaii,1998,64
Hawaii,1999,64
Hawaii,2000,70
Hawaii,2001,70
Hawaii,2002,70
Hawaii,2003,70
Hawaii,2004,70
Hawaii,2005,70
Hawaii,2006,77
Hawaii,2007,77
Hawaii,2008,77
Hawaii,2009,77
Hawaii,2010,77
Hawaii,2011,77
Hawaii,2012,78
Hawaii,2013,78
Hawaii,2014,78
Hawaii,2015,78
Hawaii,2016,79
Hawaii,2017,79
Hawaii,2018,79
Hawaii,2019,80
Hawaii,2020,82
Idaho,1991,5
Idaho,1992,5
Idaho,1993,5
Idaho,1994,6
Idaho,1995,6
Idaho,1996,6
Idaho,1997,6
Idaho,1998,6
Idaho,1999,6
Idaho,2000,7
Idaho,2001,7
Idaho,2002,7
Idaho,2003,7
Idaho,2004,7
Idaho,2005,7
Idaho,2006,7
Idaho,2007,7
Idaho,2008,5
Idaho,2009,5
Idaho,2010,5
Idaho,2011,5
Idaho,2012,5
Idaho,2013,5
Idaho,2014,5
Idaho,2015,6
Idaho,2016,2
Idaho,2017,2
Idaho,2018,1
Idaho,2019,1
Idaho,2020,1
Illinois,1991,40
Illinois,1992,42
Illinois,1993,43
Illinois,1994,43
Illinois,1995,48
Illinois,1996,49
Illinois,1997,50
Illinois,1998,53
Illinois,1999,53
Illinois,2000,57
Illinois,2001,57
Illinois,2002,57
Illinois,2003,57
Illinois,2004,57
Illinois,2005,59
Illinois,2006,60
Illinois,2007,60
Illinois,2008,60
Illinois,2009,60
Illinois,2010,65
Illinois,2011,65
Illinois,2012,65
Illinois,2013,65
Illinois,2014,65
Illinois,2015,65
Illinois,2016,65
Illinois,2017,65
Illinois,2018,65
Illinois,2019,69
Illinois,2020,70
Indiana,1991,10
Indiana,1992,10
Indiana,1993,10
Indiana,1994,10
Indiana,1995,10
Indiana,1996,11
Indiana,1997,11
Indiana,1998,11
Indiana,1999,10
Indiana,2000,10
Indiana,2001,9
Indiana,2002,9
Indiana,2003,10
Indiana,2004,10
Indiana,2005,10
Indiana,2006,10
Indiana,2007,10
Indiana,2008,10
Indiana,2009,10
Indiana,2010,10
Indiana,2011,10
Indiana,2012,10
Indiana,2013,10
Indiana,2014,11
Indiana,2015,11
Indiana,2016,12
Indiana,2017,12
Indiana,2018,12
Indiana,2019,12
Indiana,2020,12
Iowa,1991,19
Iowa,1992,19
Iowa,1993,19
Iowa,1994,19
Iowa,1995,20
Iowa,1996,20
Iowa,1997,20
Iowa,1998,20
Iowa,1999,20
Iowa,2000,20
Iowa,2001,20
Iowa,2002,20
Iowa,2003,20
Iowa,2004,20
Iowa,2005,20
Iowa,2006,20
Iowa,2007,20
Iowa,2008,20
Iowa,2009,20
Iowa,2010,24
Iowa,2011,25
Iowa,2012,25
Iowa,2013,25
Iowa,2014,25
Iowa,2015,25
Iowa,2016,25
Iowa,2017,24
Iowa,2018,24
Iowa,2019,24
Iowa,2020,24
Kansas,1991,13
Kansas,1992,13
Kansas,1993,13
Kansas,1994,14
Kansas,1995,14
Kansas,1996,14
Kansas,1997,14
Kansas,1998,15
Kansas,1999,15
Kansas,2000,15
Kansas,2001,15
Kansas,2002,14
Kansas,2003,14
Kansas,2004,14
Kansas,2005,11
Kansas,2006,11
Kansas,2007,7
Kansas,2008,6
Kansas,2009,6
Kansas,2010,8
Kansas,2011,8
Kansas,2012,8
Kansas,2013,8
Kansas,2014,8
Kansas,2015,4
Kansas,2016,4
Kansas,2017,4
Kansas,2018,7
Kansas,2019,7
Kansas,2020,7
Kentucky,1991,8
Kentucky,1992,8
Kentucky,1993,8
Kentucky,1994,9
Kentucky,1995,9
Kentucky,1996,6
Kentucky,1997,6
Kentucky,1998,6
Kentucky,1999,6
Kentucky,2000,6
Kentucky,2001,6
Kentucky,2002,6
Kentucky,2003,6
Kentucky,2004,6
Kentucky,2005,6
Kentucky,2006,7
Kentucky,2007,7
Kentucky,2008,7
Kentucky,2009,7
Kentucky,2010,7
Kentucky,2011,7
Kentucky,2012,7
Kentucky,2013,7
Kentucky,2014,7
Kentucky,2015,7
Kentucky,2016,7
Kentucky,2017,7
Kentucky,2018,7
Kentucky,2019,6
Kentucky,2020,6
Louisiana,1991,10
Louisiana,1992,10
Louisiana,1993,12
Louisiana,1994,12
Louisiana,1995,12
Louisiana,1996,10
Louisiana,1997,10
Louisiana,1998,10
Louisiana,1999,9
Louisiana,2000,9
Louisiana,2001,9
Louisiana,2002,9
Louisiana,2003,9
Louisiana,2004,9
Louisiana,2005,9
Louisiana,2006,8
Louisiana,2007,8
Louisiana,2008,8
Louisiana,2009,8
Louisiana,2010,8
Louisiana,2011,8
Louisiana,2012,8
Louisiana,2013,8
Louisiana,2014,12
Louisiana,2015,12
Louisiana,2016,12
Louisiana,2017,13
Louisiana,2018,19
Louisiana,2019,19
Louisiana,2020,19
Maine,1991,9
Maine,1992,9
Maine,1993,9
Maine,1994,9
Maine,1995,9
Maine,1996,9
Maine,1997,10
Maine,1998,10
Maine,1999,9
Maine,2000,9
Maine,2001,9
Maine,2002,9
Maine,2003,9
Maine,2004,9
Maine,2005,9
Maine,2006,9
Maine,2007,9
Maine,2008,11
Maine,2009,11
Maine,2010,11
Maine,2011,11
Maine,2012,11
Maine,2013,11
Maine,2014,11
Maine,2015,11
Maine,2016,11
Maine,2017,11
Maine,2018,11
Maine,2019,11
Maine,2020,11
Maryland,1991,17
Maryland,1992,23
Maryland,1993,24
Maryland,1994,25
Maryland,1995,25
Maryland,1996,48
Maryland,1997,48
Maryland,1998,48
Maryland,1999,48
Maryland,2000,51
Maryland,2001,51
Maryland,2002,52
Maryland,2003,54
Maryland,2004,54
Maryland,2005,54
Maryland,2006,54
Maryland,2007,54
Maryland,2008,54
Maryland,2009,56
Maryland,2010,56
Maryland,2011,57
Maryland,2012,57
Maryland,2013,63
Maryland,2014,63
Maryland,2015,64
Maryland,2016,64
Maryland,2017,64
Maryland,2018,69
Maryland,2019,69
Maryland,2020,69
Massachusetts,1991,54
Massachusetts,1992,55
Massachusetts,1993,55
Massachusetts,1994,66
Massachusetts,1995,66
Massachusetts,1996,66
Massachusetts,1997,66
Massachusetts,1998,99
Massachusetts,1999,101
Massachusetts,2000,101
Massachusetts,2001,101
Massachusetts,2002,101
Massachusetts,2003,101
Massachusetts,2004,101
Massachusetts,2005,101
Massachusetts,2006,101
Massachusetts,2007,101
Massachusetts,2008,101
Massachusetts,2009,101
Massachusetts,2010,101
Massachusetts,2011,101
Massachusetts,2012,101
Massachusetts,2013,101
Massachusetts,2014,101
Massachusetts,2015,101
Massachusetts,2016,101
Massachusetts,2017,101
Massachusetts,2018,103
Massachusetts,2019,103
Massachusetts,2020,103
Michigan,1991,24
Michigan,1992,25
Michigan,1993,25
Michigan,1994,25
Michigan,1995,25
Michigan,1996,25
Michigan,1997,25
Michigan,1998,26
Michigan,1999,26
Michigan,2000,26
Michigan,2001,24
Michigan,2002,24
Michigan,2003,24
Michigan,2004,24
Michigan,2005,24
Michigan,2006,23
Michigan,2007,23
Michigan,2008,23
Michigan,2009,23
Michigan,2010,23
Michigan,2011,23
Michigan,2012,20
Michigan,2013,20
Michigan,2014,20
Michigan,2015,21
Michigan,2016,21
Michigan,2017,21
Michigan,2018,21
Michigan,2019,21
Michigan,2020,21
Minnesota,1991,15
Minnesota,1992,15
Minnesota,1993,22
Minnesota,1994,23
Minnesota,1995,29
Minnesota,1996,32
Minnesota,1997,32
Minnesota,1998,32
Minnesota,1999,32
Minnesota,2000,32
Minnesota,2001,32
Minnesota,2002,32
Minnesota,2003,31
Minnesota,2004,31
Minnesota,2005,31
Minnesota,2006,31
Minnesota,2007,31
Minnesota,2008,31
Minnesota,2009,31
Minnesota,2010,31
Minnesota,2011,31
Minnesota,2012,31
Minnesota,2013,31
Minnesota,2014,39
Minnesota,2015,41
Minnesota,2016,41
Minnesota,2017,41
Minnesota,2018,41
Minnesota,2019,41
Minnesota,2020,41
Mississippi,1991,8
Mississippi,1992,8
Mississippi,1993,8
Mississippi,1994,10
Mississippi,1995,10
Mississippi,1996,10
Mississippi,1997,10
Mississippi,1998,10
Mississippi,1999,10
Mississippi,2000,10
Mississippi,2001,10
Mississippi,2002,10
Mississippi,2003,9
Mississippi,2004,9
Mississippi,2005,9
Mississippi,2006,8
Mississippi,2007,8
Mississippi,2008,8
Mississippi,2009,8
Mississippi,2010,8
Mississippi,2011,6
Mississippi,2012,6
Mississippi,2013,5
Mississippi,2014,5
Mississippi,2015,2
Mississippi,2016,2
Mississippi,2017,2
Mississippi,2018,2
Mississippi,2019,2
Mississippi,2020,2
Missouri,1991,16
Missouri,1992,16
Missouri,1993,16
Missouri,1994,16
Missouri,1995,16
Missouri,1996,16
Missouri,1997,16
Missouri,1998,17
Missouri,1999,17
Missouri,2000,17
Missouri,2001,17
Missouri,2002,17
Missouri,2003,12
Missouri,2004,12
Missouri,2005,12
Missouri,2006,12
Missouri,2007,6
Missouri,2008,8
Missouri,2009,8
Missouri,2010,8
Missouri,2011,8
Missouri,2012,8
Missouri,2013,8
Missouri,2014,8
Missouri,2015,8
Missouri,2016,7
Missouri,2017,2
Missouri,2018,2
Missouri,2019,2
Missouri,2020,2
Montana,1991,3
Montana,1992,3
Montana,1993,3
Montana,1994,3
Montana,1995,4
Montana,1996,4
Montana,1997,5
Montana,1998,5
Montana,1999,5
Montana,2000,5
Montana,2001,5
Montana,2002,5
Montana,2003,5
Montana,2004,5
Montana,2005,5
Montana,2006,5
Montana,2007,5
Montana,2008,5
Montana,2009,4
Montana,2010,4
Montana,2011,4
Montana,2012,4
Montana,2013,4
Montana,2014,4
Montana,2015,4
Montana,2016,4
Montana,2017,4
Montana,2018,4
Montana,2019,4
Montana,2020,4
Nebraska,1991,18
Nebraska,1992,18
Nebraska,1993,18
Nebraska,1994,21
Nebraska,1995,21
Nebraska,1996,21
Nebraska,1997,21
Nebraska,1998,22
Nebraska,1999,22
Nebraska,2000,22
Nebraska,2001,22
Nebraska,2002,22
Nebraska,2003,22
Nebraska,2004,23
Nebraska,2005,23
Nebraska,2006,23
Nebraska,2007,21
Nebraska,2008,21
Nebraska,2009,22
Nebraska,2010,22
Nebraska,2011,22
Nebraska,2012,22
Nebraska,2013,22
Nebraska,2014,22
Nebraska,2015,22
Nebraska,2016,22
Nebraska,2017,22
Nebraska,2018,22
Nebraska,2019,22
Nebraska,2020,22
Nevada,1991,8
Nevada,1992,8
Nevada,1993,8
Nevada,1994,8
Nevada,1995,7
Nevada,1996,7
Nevada,1997,7
Nevada,1998,7
Nevada,1999,7
Nevada,2000,7
Nevada,2001,7
Nevada,2002,7
Nevada,2003,10
Nevada,2004,10
Nevada,2005,10
Nevada,2006,10
Nevada,2007,10
Nevada,2008,10
Nevada,2009,10
Nevada,2010,10
Nevada,2011,11
Nevada,2012,11
Nevada,2013,11
Nevada,2014,11
Nevada,2015,15
Nevada,2016,15
Nevada,2017,21
Nevada,2018,21
Nevada,2019,21
Nevada,2020,30
New Hampshire,1991,7
New Hampshire,1992,7
New Hampshire,1993,7
New Hampshire,1994,7
New Hampshire,1995,7
New Hampshire,1996,7
New Hampshire,1997,7
New Hampshire,1998,7
New Hampshire,1999,7
New Hampshire,2000,15
New Hampshire,2001,15
New Hampshire,2002,15
New Hampshire,2003,12
New Hampshire,2004,11
New Hampshire,2005,11
New Hampshire,2006,11
New Hampshire,2007,11
New Hampshire,2008,11
New Hampshire,2009,11
New Hampshire,2010,11
New Hampshire,2011,10
New Hampshire,2012,10
New Hampshire,2013,10
New Hampshire,2014,10
New Hampshire,2015,10
New Hampshire,2016,10
New Hampshire,2017,9
New Hampshire,2018,9
New Hampshire,2019,9
New Hampshire,2020,9
New Jersey,1991,46
New Jersey,1992,50
New Jersey,1993,51
New Jersey,1994,51
New Jersey,1995,51
New Jersey,1996,51
New Jersey,1997,51
New Jersey,1998,52
New Jersey,1999,52
New Jersey,2000,54
New Jersey,2001,56
New Jersey,2002,57
New Jersey,2003,57
New Jersey,2004,63
New Jersey,2005,63
New Jersey,2006,63
New Jersey,2007,63
New Jersey,2008,66
New Jersey,2009,66
New Jersey,2010,67
New Jersey,2011,67
New Jersey,2012,67
New Jersey,2013,67
New Jersey,2014,67
New Jersey,2015,67
New Jersey,2016,67
New Jersey,2017,75
New Jersey,2018,78
New Jersey,2019,80
New Jersey,2020,80
New Mexico,1991,10
New Mexico,1992,10
New Mexico,1993,10
New Mexico,1994,10
New Mexico,1995,10
New Mexico,1996,10
New Mexico,1997,10
New Mexico,1998,11
New Mexico,1999,11
New Mexico,2000,11
New Mexico,2001,5
New Mexico,2002,5
New Mexico,2003,7
New Mexico,2004,10
New Mexico,2005,10
New Mexico,2006,10
New Mexico,2007,10
New Mexico,2008,10
New Mexico,2009,10
New Mexico,2010,10
New Mexico,2011,10
New Mexico,2012,10
New Mexico,2013,10
New Mexico,2014,10
New Mexico,2015,10
New Mexico,2016,10
New Mexico,2017,10
New Mexico,2018,10
New Mexico,2019,22
New Mexico,2020,22
New York,1991,34
New York,1992,34
New York,1993,34
New York,1994,34
New York,1995,34
New York,1996,40
New York,1997,40
New York,1998,41
New York,1999,42
New York,2000,59
New York,2001,60
New York,2002,59
New York,2003,59
New York,2004,59
New York,2005,59
New York,2006,59
New York,2007,59
New York,2008,63
New York,2009,63
New York,2010,63
New York,2011,63
New York,2012,62
New York,2013,71
New York,2014,74
New York,2015,74
New York,2016,74
New York,2017,74
New York,2018,74
New York,2019,77
New York,2020,77
North Carolina,1991,19
North Carolina,1992,19
North Carolina,1993,23
North Carolina,1994,24
North Carolina,1995,25
North Carolina,1996,22
North Carolina,1997,20
North Carolina,1998,20
North Carolina,1999,20
North Carolina,2000,20
North Carolina,2001,20
North Carolina,2002,19
North Carolina,2003,29
North Carolina,2004,29
North Carolina,2005,29
North Carolina,2006,30
North Carolina,2007,30
North Carolina,2008,30
North Carolina,2009,30
North Carolina,2010,30
North Carolina,2011,29
North Carolina,2012,29
North Carolina,2013,30
North Carolina,2014,30
North Carolina,2015,30
North Carolina,2016,30
North Carolina,2017,30
North Carolina,2018,30
North Carolina,2019,30
North Carolina,2020,30
North Dakota,1991,13
North Dakota,1992,13
North Dakota,1993,13
North Dakota,1994,13
North Dakota,1995,13
North Dakota,1996,13
North Dakota,1997,13
North Dakota,1998,13
North Dakota,1999,13
North Dakota,2000,13
North Dakota,2001,12
North Dakota,2002,12
North Dakota,2003,12
North Dakota,2004,12
North Dakota,2005,12
North Dakota,2006,12
North Dakota,2007,12
North Dakota,2008,12
North Dakota,2009,12
North Dakota,2010,12
North Dakota,2011,13
North Dakota,2012,13
North Dakota,2013,14
North Dakota,2014,14
North Dakota,2015,14
North Dakota,2016,14
North Dakota,2017,10
North Dakota,2018,10
North Dakota,2019,10
North Dakota,2020,10
Ohio,1991,18
Ohio,1992,19
Ohio,1993,19
Ohio,1994,20
Ohio,1995,20
Ohio,1996,20
Ohio,1997,20
Ohio,1998,21
Ohio,1999,21
Ohio,2000,21
Ohio,2001,20
Ohio,2002,20
Ohio,2003,20
Ohio,2004,18
Ohio,2005,18
Ohio,2006,18
Ohio,2007,16
Ohio,2008,16
Ohio,2009,16
Ohio,2010,16
Ohio,2011,15
Ohio,2012,15
Ohio,2013,15
Ohio,2014,15
Ohio,2015,16
Ohio,2016,16
Ohio,2017,16
Ohio,2018,16
Ohio,2019,15
Ohio,2020,15
Oklahoma,1991,10
Oklahoma,1992,11
Oklahoma,1993,12
Oklahoma,1994,13
Oklahoma,1995,11
Oklahoma,1996,11
Oklahoma,1997,11
Oklahoma,1998,11
Oklahoma,1999,10
Oklahoma,2000,10
Oklahoma,2001,10
Oklahoma,2002,10
Oklahoma,2003,10
Oklahoma,2004,10
Oklahoma,2005,10
Oklahoma,2006,9
Oklahoma,2007,9
Oklahoma,2008,9
Oklahoma,2009,9
Oklahoma,2010,9
Oklahoma,2011,9
Oklahoma,2012,10
Oklahoma,2013,9
Oklahoma,2014,9
Oklahoma,2015,9
Oklahoma,2016,9
Oklahoma,2017,9
Oklahoma,2018,9
Oklahoma,2019,8
Oklahoma,2020,8
Oregon,1991,16
Oregon,1992,16
Oregon,1993,16
Oregon,1994,16
Oregon,1995,16
Oregon,1996,16
Oregon,1997,16
Oregon,1998,16
Oregon,1999,16
Oregon,2000,24
Oregon,2001,24
Oregon,2002,24
Oregon,2003,24
Oregon,2004,24
Oregon,2005,24
Oregon,2006,24
Oregon,2007,24
Oregon,2008,24
Oregon,2009,24
Oregon,2010,24
Oregon,2011,24
Oregon,2012,24
Oregon,2013,24
Oregon,2014,24
Oregon,2015,33
Oregon,2016,35
Oregon,2017,35
Oregon,2018,38
Oregon,2019,40
Oregon,2020,42
Pennsylvania,1991,17
Pennsylvania,1992,17
Pennsylvania,1993,17
Pennsylvania,1994,17
Pennsylvania,1995,25
Pennsylvania,1996,25
Pennsylvania,1997,32
Pennsylvania,1998,34
Pennsylvania,1999,33
Pennsylvania,2000,34
Pennsylvania,2001,34
Pennsylvania,2002,34
Pennsylvania,2003,34
Pennsylvania,2004,34
Pennsylvania,2005,34
Pennsylvania,2006,37
Pennsylvania,2007,37
Pennsylvania,2008,38
Pennsylvania,2009,38
Pennsylvania,2010,38
Pennsylvania,2011,37
Pennsylvania,2012,37
Pennsylvania,2013,37
Pennsylvania,2014,37
Pennsylvania,2015,37
Pennsylvania,2016,37
Pennsylvania,2017,37
Pennsylvania,2018,37
Pennsylvania,2019,39
Pennsylvania,2020,39
Rhode Island,1991,37
Rhode Island,1992,37
Rhode Island,1993,37
Rhode Island,1994,37
Rhode Island,1995,40
Rhode Island,1996,40
Rhode Island,1997,41
Rhode Island,1998,41
Rhode Island,1999,43
Rhode Island,2000,44
Rhode Island,2001,44
Rhode Island,2002,44
Rhode Island,2003,44
Rhode Island,2004,44
Rhode Island,2005,44
Rhode Island,2006,44
Rhode Island,2007,44
Rhode Island,2008,44
Rhode Island,2009,44
Rhode Island,2010,44
Rhode Island,2011,44
Rhode Island,2012,44
Rhode Island,2013,44
Rhode Island,2014,42
Rhode Island,2015,42
Rhode Island,2016,42
Rhode Island,2017,52
Rhode Island,2018,53
Rhode Island,2019,53
Rhode Island,2020,53
South Carolina,1991,21
South Carolina,1992,21
South Carolina,1993,21
South Carolina,1994,21
South Carolina,1995,20
South Carolina,1996,18
South Carolina,1997,18
South Carolina,1998,18
South Carolina,1999,18
South Carolina,2000,17
South Carolina,2001,18
South Carolina,2002,18
South Carolina,2003,18
South Carolina,2004,17
South Carolina,2005,15
South Carolina,2006,14
South Carolina,2007,14
South Carolina,2008,12
South Carolina,2009,12
South Carolina,2010,12
South Carolina,2011,12
South Carolina,2012,10
South Carolina,2013,12
South Carolina,2014,12
South Carolina,2015,12
South Carolina,2016,12
South Carolina,2017,12
South Carolina,2018,12
South Carolina,2019,12
South Carolina,2020,12
South Dakota,1991,6
South Dakota,1992,6
South Dakota,1993,6
South Dakota,1994,6
South Dakota,1995,6
South Dakota,1996,6
South Dakota,1997,6
South Dakota,1998,6
South Dakota,1999,5
South Dakota,2000,5
South Dakota,2001,5
South Dakota,2002,6
South Dakota,2003,6
South Dakota,2004,6
South Dakota,2005,7
South Dakota,2006,6
South Dakota,2007,6
South Dakota,2008,6
South Dakota,2009,6
South Dakota,2010,6
South Dakota,2011,6
South Dakota,2012,6
South Dakota,2013,5
South Dakota,2014,5
South Dakota,2015,5
South Dakota,2016,5
South Dakota,2017,5
South Dakota,2018,6
South Dakota,2019,5
South Dakota,2020,5
Tennessee,1991,18
Tennessee,1992,18
Tennessee,1993,18
Tennessee,1994,18
Tennessee,1995,19
Tennessee,1996,18
Tennessee,1997,19
Tennessee,1998,16
Tennessee,1999,15
Tennessee,2000,15
Tennessee,2001,15
Tennessee,2002,15
Tennessee,2003,15
Tennessee,2004,15
Tennessee,2005,15
Tennessee,2006,15
Tennessee,2007,14
Tennessee,2008,15
Tennessee,2009,24
Tennessee,2010,24
Tennessee,2011,24
Tennessee,2012,24
Tennessee,2013,24
Tennessee,2014,24
Tennessee,2015,24
Tennessee,2016,22
Tennessee,2017,22
Tennessee,2018,22
Tennessee,2019,22
Tennessee,2020,22
Texas,1991,13
Texas,1992,13
Texas,1993,12
Texas,1994,13
Texas,1995,15
Texas,1996,15
Texas,1997,15
Texas,1998,15
Texas,1999,15
Texas,2000,15
Texas,2001,18
Texas,2002,18
Texas,2003,18
Texas,2004,18
Texas,2005,18
Texas,2006,18
Texas,2007,17
Texas,2008,19
Texas,2009,20
Texas,2010,20
Texas,2011,20
Texas,2012,20
Texas,2013,20
Texas,2014,20
Texas,2015,20
Texas,2016,18
Texas,2017,18
Texas,2018,18
Texas,2019,18
Texas,2020,18
Utah,1991,12
Utah,1992,13
Utah,1993,13
Utah,1994,15
Utah,1995,14
Utah,1996,14
Utah,1997,13
Utah,1998,13
Utah,1999,13
Utah,2000,12
Utah,2001,12
Utah,2002,11
Utah,2003,11
Utah,2004,11
Utah,2005,11
Utah,2006,11
Utah,2007,11
Utah,2008,11
Utah,2009,11
Utah,2010,11
Utah,2011,11
Utah,2012,11
Utah,2013,11
Utah,2014,11
Utah,2015,11
Utah,2016,11
Utah,2017,13
Utah,2018,15
Utah,2019,15
Utah,2020,15
Vermont,1991,3
Vermont,1992,3
Vermont,1993,3
Vermont,1994,3
Vermont,1995,3
Vermont,1996,3
Vermont,1997,3
Vermont,1998,3
Vermont,1999,3
Vermont,2000,3
Vermont,2001,3
Vermont,2002,3
Vermont,2003,3
Vermont,2004,3
Vermont,2005,3
Vermont,2006,3
Vermont,2007,3
Vermont,2008,3
Vermont,2009,3
Vermont,2010,3
Vermont,2011,3
Vermont,2012,3
Vermont,2013,3
Vermont,2014,3
Vermont,2015,6
Vermont,2016,6
Vermont,2017,6
Vermont,2018,19
Vermont,2019,20
Vermont,2020,20
